Mod:Item:MetaData, Localized Name
gregtech:gt.meta.dustSmall:8337, oredict.dustSmallLignite.name
gregtech:gt.meta.dustSmall:8338, oredict.dustSmallMonazite.name
gregtech:gt.meta.dustSmall:8341, oredict.dustSmallGlowstone.name
gregtech:gt.meta.dustSmall:8342, oredict.dustSmallFirestone.name
gregtech:gt.meta.dustSmall:8346, oredict.dustSmallNetherQuartz.name
gregtech:gt.meta.dustSmall:8347, oredict.dustSmallCertusQuartz.name
gregtech:gt.meta.dustSmall:8348, oredict.dustSmallChargedCertusQuartz.name
gregtech:gt.meta.dustSmall:8349, oredict.dustSmallCoalCoke.name
gregtech:gt.meta.dustSmall:8352, oredict.dustSmallInfusedAir.name
gregtech:gt.meta.dustSmall:8353, oredict.dustSmallInfusedFire.name
gregtech:gt.meta.dustSmall:8354, oredict.dustSmallInfusedEarth.name
gregtech:gt.meta.dustSmall:8355, oredict.dustSmallInfusedWater.name
gregtech:gt.meta.dustSmall:8356, oredict.dustSmallInfusedEntropy.name
gregtech:gt.meta.dustSmall:8357, oredict.dustSmallInfusedOrder.name
gregtech:gt.meta.dustSmall:8360, oredict.dustSmallPeat.name
gregtech:gt.meta.dustSmall:8361, oredict.dustSmallPeatBituminous.name
gregtech:gt.meta.dustSmall:8362, oredict.dustSmallAnthracite.name
gregtech:gt.meta.dustSmall:8363, oredict.dustSmallPrismane.name
gregtech:gt.meta.dustSmall:8364, oredict.dustSmallLonsdaleite.name
gregtech:gt.meta.dustSmall:8365, oredict.dustSmallLigniteCoke.name
gregtech:gt.meta.dustSmall:8373, oredict.dustSmallEctoplasm.name
gregtech:gt.meta.dustSmall:8383, oredict.dustSmallPurpleSapphire.name
gregtech:gt.meta.dustSmall:8384, oredict.dustSmallHeliodor.name
gregtech:gt.meta.dustSmall:8385, oredict.dustSmallGoshenite.name
gregtech:gt.meta.dustSmall:8386, oredict.dustSmallBixbite.name
gregtech:gt.meta.dustSmall:8387, oredict.dustSmallMaxixe.name
gregtech:gt.meta.dustSmall:8388, oredict.dustSmallAlexandrite.name
gregtech:gt.meta.dustSmall:8389, oredict.dustSmallFluix.name
gregtech:gt.meta.dustSmall:8390, oredict.dustSmallPetroleumCoke.name
gregtech:gt.meta.dustSmall:8500, oredict.dustSmallStone.name
gregtech:gt.meta.dustSmall:8501, oredict.dustSmallConcrete.name
gregtech:gt.meta.dustSmall:8502, oredict.dustSmallNetherrack.name
gregtech:gt.meta.dustSmall:8503, oredict.dustSmallNetherBrick.name
gregtech:gt.meta.dustSmall:8504, oredict.dustSmallEndstone.name
gregtech:gt.meta.dustSmall:8505, oredict.dustSmallBasalt.name
gregtech:gt.meta.dustSmall:8506, oredict.dustSmallMarble.name
gregtech:gt.meta.dustSmall:8507, oredict.dustSmallGraniteRed.name
gregtech:gt.meta.dustSmall:8508, oredict.dustSmallGraniteBlack.name
gregtech:gt.meta.dustSmall:8509, oredict.dustSmallRedrock.name
gregtech:gt.meta.dustSmall:8510, oredict.dustSmallGravel.name
gregtech:gt.meta.dustSmall:8511, oredict.dustSmallDiorite.name
gregtech:gt.meta.dustSmall:8512, oredict.dustSmallSpaceStone.name
gregtech:gt.meta.dustSmall:8513, oredict.dustSmallMoonStone.name
gregtech:gt.meta.dustSmall:8514, oredict.dustSmallMoonTurf.name
gregtech:gt.meta.dustSmall:8515, oredict.dustSmallMarsStone.name
gregtech:gt.meta.dustSmall:8516, oredict.dustSmallMarsSand.name
gregtech:gt.meta.dustSmall:8517, oredict.dustSmallUmber.name
gregtech:gt.meta.dustSmall:8518, oredict.dustSmallGranite.name
gregtech:gt.meta.dustSmall:8600, oredict.dustSmallElectrum.name
gregtech:gt.meta.dustSmall:8601, oredict.dustSmallSterlingSilver.name
gregtech:gt.meta.dustSmall:8602, oredict.dustSmallRoseGold.name
gregtech:gt.meta.dustSmall:8603, oredict.dustSmallAngmallen.name
gregtech:gt.meta.dustSmall:8604, oredict.dustSmallGoldInductive.name
gregtech:gt.meta.dustSmall:8605, oredict.dustSmallCdInAgAlloy.name
gregtech:gt.meta.dustSmall:8606, oredict.dustSmallGildedIron.name
gregtech:gt.meta.dustSmall:8610, oredict.dustSmallBronze.name
gregtech:gt.meta.dustSmall:8611, oredict.dustSmallBlackBronze.name
gregtech:gt.meta.dustSmall:8612, oredict.dustSmallBismuthBronze.name
gregtech:gt.meta.dustSmall:8613, oredict.dustSmallHepatizon.name
gregtech:gt.meta.dustSmall:8620, oredict.dustSmallBrass.name
gregtech:gt.meta.dustSmall:8621, oredict.dustSmallCobaltBrass.name
gregtech:gt.meta.dustSmall:8630, oredict.dustSmallSteel.name
gregtech:gt.meta.dustSmall:8631, oredict.dustSmallBlackSteel.name
gregtech:gt.meta.dustSmall:8632, oredict.dustSmallRedSteel.name
gregtech:gt.meta.dustSmall:8633, oredict.dustSmallBlueSteel.name
gregtech:gt.meta.dustSmall:8634, oredict.dustSmallDamascusSteel.name
gregtech:gt.meta.dustSmall:8635, oredict.dustSmallTungstensteel.name
gregtech:gt.meta.dustSmall:8636, oredict.dustSmallStainlessSteel.name
gregtech:gt.meta.dustSmall:8638, oredict.dustSmallTungstenCarbide.name
gregtech:gt.meta.dustSmall:8642, oredict.dustSmallPigIron.name
gregtech:gt.meta.dustSmall:8649, oredict.dustSmallMeteoricIron.name
gregtech:gt.meta.dustSmall:8650, oredict.dustSmallMeteoricSteel.name
gregtech:gt.meta.dustSmall:8651, oredict.dustSmallSteelGalvanized.name
gregtech:gt.meta.dustSmall:8653, oredict.dustSmallVanadiumSteel.name
gregtech:gt.meta.dustSmall:8660, oredict.dustSmallRedAlloy.name
gregtech:gt.meta.dustSmall:8661, oredict.dustSmallInvar.name
gregtech:gt.meta.dustSmall:8662, oredict.dustSmallConstantan.name
gregtech:gt.meta.dustSmall:8663, oredict.dustSmallNichrome.name
gregtech:gt.meta.dustSmall:8664, oredict.dustSmallKanthal.name
gregtech:gt.meta.dustSmall:8665, oredict.dustSmallMagnalium.name
gregtech:gt.meta.dustSmall:8666, oredict.dustSmallUltimet.name
gregtech:gt.meta.dustSmall:8667, oredict.dustSmallTinAlloy.name
gregtech:gt.meta.dustSmall:8668, oredict.dustSmallBatteryAlloy.name
gregtech:gt.meta.dustSmall:8669, oredict.dustSmallSolderingAlloy.name
gregtech:gt.meta.dustSmall:8672, oredict.dustSmallIronWood.name
gregtech:gt.meta.dustSmall:8673, oredict.dustSmallSteeleaf.name
gregtech:gt.meta.dustSmall:8676, oredict.dustSmallAstralSilver.name
gregtech:gt.meta.dustSmall:8677, oredict.dustSmallMidasium.name
gregtech:gt.meta.dustSmall:8678, oredict.dustSmallMithril.name
gregtech:gt.meta.dustSmall:8679, oredict.dustSmallThaumium.name
gregtech:gt.meta.dustSmall:8681, oredict.dustSmallVoidMetal.name
gregtech:gt.meta.dustSmall:8682, oredict.dustSmallOsmiridium.name
gregtech:gt.meta.dustSmall:8683, oredict.dustSmallSunnarium.name
gregtech:gt.meta.dustSmall:8684, oredict.dustSmallTrinaquadalloy.name
gregtech:gt.meta.dustSmall:8685, oredict.dustSmallChromiumDioxide.name
gregtech:gt.meta.dustSmall:8686, oredict.dustSmallVanadiumGallium.name
gregtech:gt.meta.dustSmall:8687, oredict.dustSmallYttriumBariumCuprate.name
gregtech:gt.meta.dustSmall:8688, oredict.dustSmallNiobiumNitride.name
gregtech:gt.meta.dustSmall:8689, oredict.dustSmallNiobiumTitanium.name
gregtech:gt.meta.dustSmall:8700, oredict.dustSmallAluminiumBrass.name
gregtech:gt.meta.dustSmall:8702, oredict.dustSmallAlumite.name
gregtech:gt.meta.dustSmall:8708, oredict.dustSmallSignalum.name
gregtech:gt.meta.dustSmall:8709, oredict.dustSmallLumium.name
gregtech:gt.meta.dustSmall:8710, oredict.dustSmallEnderium.name
gregtech:gt.meta.dustSmall:8711, oredict.dustSmallElectrumFlux.name
gregtech:gt.meta.dustSmall:8725, oredict.dustSmallPulsatingIron.name
gregtech:gt.meta.dustSmall:8726, oredict.dustSmallVibrantAlloy.name
gregtech:gt.meta.dustSmall:8727, oredict.dustSmallConductiveIron.name
gregtech:gt.meta.dustSmall:8728, oredict.dustSmallEnergeticAlloy.name
gregtech:gt.meta.dustSmall:8729, oredict.dustSmallEnderiumBase.name
gregtech:gt.meta.dustSmall:8730, oredict.dustSmallElectricalSteel.name
gregtech:gt.meta.dustSmall:8731, oredict.dustSmallObsidianSteel.name
gregtech:gt.meta.dustSmall:8732, oredict.dustSmallSoularium.name
gregtech:gt.meta.dustSmall:8733, oredict.dustSmallRedstoneAlloy.name
gregtech:gt.meta.dustSmall:8734, oredict.dustSmallSpectreIron.name
gregtech:gt.meta.dustSmall:8735, oredict.dustSmallGaiaSpirit.name
gregtech:gt.meta.dustSmall:8736, oredict.dustSmallEndium.name
gregtech:gt.meta.dustSmall:8750, oredict.dustSmallDesh.name
gregtech:gt.meta.dustSmall:8751, oredict.dustSmallDuranium.name
gregtech:gt.meta.dustSmall:8752, oredict.dustSmallTritanium.name
gregtech:gt.meta.dustSmall:8753, oredict.dustSmallDolamide.name
gregtech:gt.meta.dustSmall:8756, oredict.dustSmallDuralumin.name
gregtech:gt.meta.dustSmall:8785, oredict.dustSmallSyrmorite.name
gregtech:gt.meta.dustSmall:8786, oredict.dustSmallOctine.name
gregtech:gt.meta.dustSmall:8790, oredict.dustSmallTrinitanium.name
gregtech:gt.meta.dustSmall:8793, oredict.dustSmallTitaniumIridium.name
gregtech:gt.meta.dustSmall:8794, oredict.dustSmallTitaniumAluminide.name
gregtech:gt.meta.dustSmall:9000, oredict.dustSmallPumice.name
gregtech:gt.meta.dustSmall:9001, oredict.dustSmallDiatomite.name
gregtech:gt.meta.dustSmall:9003, oredict.dustSmallBasalticMineralSand.name
gregtech:gt.meta.dustSmall:9004, oredict.dustSmallGraniticMineralSand.name
gregtech:gt.meta.dustSmall:9005, oredict.dustSmallGarnetSand.name
gregtech:gt.meta.dustSmall:9006, oredict.dustSmallQuartzSand.name
gregtech:gt.meta.dustSmall:9100, oredict.dustSmallRareEarth.name
gregtech:gt.meta.dustSmall:9101, oredict.dustSmallAlmandine.name
gregtech:gt.meta.dustSmall:9102, oredict.dustSmallAndradite.name
gregtech:gt.meta.dustSmall:9103, oredict.dustSmallAsbestos.name
gregtech:gt.meta.dustSmall:9104, oredict.dustSmallHematite.name
gregtech:gt.meta.dustSmall:9105, oredict.dustSmallBauxite.name
gregtech:gt.meta.dustSmall:9106, oredict.dustSmallBrownLimonite.name
gregtech:gt.meta.dustSmall:9107, oredict.dustSmallCalcite.name
gregtech:gt.meta.dustSmall:9108, oredict.dustSmallCassiterite.name
gregtech:gt.meta.dustSmall:9110, oredict.dustSmallCelestine.name
gregtech:gt.meta.dustSmall:9111, oredict.dustSmallChalcopyrite.name
gregtech:gt.meta.dustSmall:9112, oredict.dustSmallChalk.name
gregtech:gt.meta.dustSmall:9113, oredict.dustSmallChromite.name
gregtech:gt.meta.dustSmall:9114, oredict.dustSmallCinnabar.name
gregtech:gt.meta.dustSmall:9115, oredict.dustSmallCobaltite.name
gregtech:gt.meta.dustSmall:9116, oredict.dustSmallCooperite.name
gregtech:gt.meta.dustSmall:9117, oredict.dustSmallGalena.name
gregtech:gt.meta.dustSmall:9118, oredict.dustSmallGarnierite.name
gregtech:gt.meta.dustSmall:9119, oredict.dustSmallGrossular.name
gregtech:gt.meta.dustSmall:9120, oredict.dustSmallIlmenite.name
gregtech:gt.meta.dustSmall:9121, oredict.dustSmallMagnesite.name
gregtech:gt.meta.dustSmall:9122, oredict.dustSmallMagnetite.name
gregtech:gt.meta.dustSmall:9123, oredict.dustSmallMolybdenite.name
gregtech:gt.meta.dustSmall:9124, oredict.dustSmallPowellite.name
gregtech:gt.meta.dustSmall:9125, oredict.dustSmallPyrite.name
gregtech:gt.meta.dustSmall:9126, oredict.dustSmallPyrolusite.name
gregtech:gt.meta.dustSmall:9127, oredict.dustSmallPyrope.name
gregtech:gt.meta.dustSmall:9128, oredict.dustSmallScheelite.name
gregtech:gt.meta.dustSmall:9129, oredict.dustSmallSpessartine.name
gregtech:gt.meta.dustSmall:9130, oredict.dustSmallSphalerite.name
gregtech:gt.meta.dustSmall:9131, oredict.dustSmallStibnite.name
gregtech:gt.meta.dustSmall:9132, oredict.dustSmallTetrahedrite.name
gregtech:gt.meta.dustSmall:9133, oredict.dustSmallTungstate.name
gregtech:gt.meta.dustSmall:9134, oredict.dustSmallUraninite.name
gregtech:gt.meta.dustSmall:9135, oredict.dustSmallUvarovite.name
gregtech:gt.meta.dustSmall:9136, oredict.dustSmallWulfenite.name
gregtech:gt.meta.dustSmall:9137, oredict.dustSmallYellowLimonite.name
gregtech:gt.meta.dustSmall:9138, oredict.dustSmallPerlite.name
gregtech:gt.meta.dustSmall:9139, oredict.dustSmallBorax.name
gregtech:gt.meta.dustSmall:9140, oredict.dustSmallPotassiumFeldspar.name
gregtech:gt.meta.dustSmall:9141, oredict.dustSmallBiotite.name
gregtech:gt.meta.dustSmall:9103, oredict.dustSmallAsbestos.name
gregtech:gt.meta.dustSmall:9143, oredict.dustSmallFerrovanadium.name
gregtech:gt.meta.dustSmall:9144, oredict.dustSmallBastnasite.name
gregtech:gt.meta.dustSmall:9145, oredict.dustSmallPentlandite.name
gregtech:gt.meta.dustSmall:9146, oredict.dustSmallSpodumene.name
gregtech:gt.meta.dustSmall:9147, oredict.dustSmallPollucite.name
gregtech:gt.meta.dustSmall:9148, oredict.dustSmallTantalite.name
gregtech:gt.meta.dustSmall:9149, oredict.dustSmallLepidolite.name
gregtech:gt.meta.dustSmall:9150, oredict.dustSmallGlauconite.name
gregtech:gt.meta.dustSmall:9151, oredict.dustSmallGlauconiteSand.name
gregtech:gt.meta.dustSmall:9152, oredict.dustSmallVermiculite.name
gregtech:gt.meta.dustSmall:9153, oredict.dustSmallBentonite.name
gregtech:gt.meta.dustSmall:9154, oredict.dustSmallFullersEarth.name
gregtech:gt.meta.dustSmall:9155, oredict.dustSmallPitchblende.name
gregtech:gt.meta.dustSmall:9156, oredict.dustSmallMalachite.name
gregtech:gt.meta.dustSmall:9157, oredict.dustSmallMirabilite.name
gregtech:gt.meta.dustSmall:9158, oredict.dustSmallMica.name
gregtech:gt.meta.dustSmall:9159, oredict.dustSmallTrona.name
gregtech:gt.meta.dustSmall:9160, oredict.dustSmallBarite.name
gregtech:gt.meta.dustSmall:9161, oredict.dustSmallGypsum.name
gregtech:gt.meta.dustSmall:9162, oredict.dustSmallAlunite.name
gregtech:gt.meta.dustSmall:9163, oredict.dustSmallDolomite.name
gregtech:gt.meta.dustSmall:9164, oredict.dustSmallWollastonite.name
gregtech:gt.meta.dustSmall:9165, oredict.dustSmallZeolite.name
gregtech:gt.meta.dustSmall:9166, oredict.dustSmallKyanite.name
gregtech:gt.meta.dustSmall:9167, oredict.dustSmallKaolinite.name
gregtech:gt.meta.dustSmall:9168, oredict.dustSmallTalc.name
gregtech:gt.meta.dustSmall:9169, oredict.dustSmallSoapstone.name
gregtech:gt.meta.dustSmall:9170, oredict.dustSmallGneiss.name
gregtech:gt.meta.dustSmall:9171, oredict.dustSmallGreenschist.name
gregtech:gt.meta.dustSmall:9172, oredict.dustSmallGreenstone.name
gregtech:gt.meta.dustSmall:9173, oredict.dustSmallGreywacke.name
gregtech:gt.meta.dustSmall:9174, oredict.dustSmallGraphite.name
gregtech:gt.meta.dustSmall:9175, oredict.dustSmallGraphene.name
gregtech:gt.meta.dustSmall:9176, oredict.dustSmallGabbro.name
gregtech:gt.meta.dustSmall:9177, oredict.dustSmallKomatiite.name
gregtech:gt.meta.dustSmall:9178, oredict.dustSmallSiltstone.name
gregtech:gt.meta.dustSmall:9179, oredict.dustSmallRhyolite.name
gregtech:gt.meta.dustSmall:9180, oredict.dustSmallQuartzite.name
gregtech:gt.meta.dustSmall:9181, oredict.dustSmallMigmatite.name
gregtech:gt.meta.dustSmall:9182, oredict.dustSmallEpidote.name
gregtech:gt.meta.dustSmall:9183, oredict.dustSmallEmery.name
gregtech:gt.meta.dustSmall:9184, oredict.dustSmallBlueschist.name
gregtech:gt.meta.dustSmall:9185, oredict.dustSmallBluestone.name
gregtech:gt.meta.dustSmall:9186, oredict.dustSmallChert.name
gregtech:gt.meta.dustSmall:9187, oredict.dustSmallDacite.name
gregtech:gt.meta.dustSmall:9188, oredict.dustSmallAndesite.name
gregtech:gt.meta.dustSmall:9189, oredict.dustSmallLimestone.name
gregtech:gt.meta.dustSmall:9190, oredict.dustSmallShale.name
gregtech:gt.meta.dustSmall:9191, oredict.dustSmallEclogite.name
gregtech:gt.meta.dustSmall:9192, oredict.dustSmallRutile.name
gregtech:gt.meta.dustSmall:9193, oredict.dustSmallStolzite.name
gregtech:gt.meta.dustSmall:9194, oredict.dustSmallFerberite.name
gregtech:gt.meta.dustSmall:9195, oredict.dustSmallHuebnerite.name
gregtech:gt.meta.dustSmall:9196, oredict.dustSmallRussellite.name
gregtech:gt.meta.dustSmall:9197, oredict.dustSmallPinalite.name
gregtech:gt.meta.dustSmall:9198, oredict.dustSmallDiduraniumTrioxide.name
gregtech:gt.meta.dustSmall:9199, oredict.dustSmallDuraniumHexafluoride.name
gregtech:gt.meta.dustSmall:9200, oredict.dustSmallDuraniumHexachloride.name
gregtech:gt.meta.dustSmall:9201, oredict.dustSmallDuraniumHexabromide.name
gregtech:gt.meta.dustSmall:9202, oredict.dustSmallDuraniumHexaiodide.name
gregtech:gt.meta.dustSmall:9203, oredict.dustSmallDuraniumHexaastatide.name
gregtech:gt.meta.dustSmall:9204, oredict.dustSmallTritaniumDioxide.name
gregtech:gt.meta.dustSmall:9205, oredict.dustSmallTritaniumHexafluoride.name
gregtech:gt.meta.dustSmall:9206, oredict.dustSmallTritaniumHexachloride.name
gregtech:gt.meta.dustSmall:9207, oredict.dustSmallTritaniumHexabromide.name
gregtech:gt.meta.dustSmall:9208, oredict.dustSmallTritaniumHexaiodide.name
gregtech:gt.meta.dustSmall:9209, oredict.dustSmallTritaniumHexaastatide.name
gregtech:gt.meta.dustSmall:9210, oredict.dustSmallBromargyrite.name
gregtech:gt.meta.dustSmall:9211, oredict.dustSmallSmithsonite.name
gregtech:gt.meta.dustSmall:9212, oredict.dustSmallSperrylite.name
gregtech:gt.meta.dustSmall:9213, oredict.dustSmallKesterite.name
gregtech:gt.meta.dustSmall:9214, oredict.dustSmallStannite.name
gregtech:gt.meta.dustSmall:9215, oredict.dustSmallFluorite.name
gregtech:gt.meta.dustSmall:9216, oredict.dustSmallArsenopyrite.name
gregtech:gt.meta.dustSmall:9217, oredict.dustSmallWolframite.name
gregtech:gt.meta.dustSmall:9218, oredict.dustSmallKimberlite.name
gregtech:gt.meta.dustSmall:9700, oredict.dustSmallMeatRaw.name
gregtech:gt.meta.dustSmall:9701, oredict.dustSmallMeatCooked.name
gregtech:gt.meta.dustSmall:9702, oredict.dustSmallWheat.name
gregtech:gt.meta.dustSmall:9703, oredict.dustSmallSugar.name
gregtech:gt.meta.dustSmall:9704, oredict.dustSmallBarley.name
gregtech:gt.meta.dustSmall:9705, oredict.dustSmallRye.name
gregtech:gt.meta.dustSmall:9706, oredict.dustSmallRice.name
gregtech:gt.meta.dustSmall:9707, oredict.dustSmallOat.name
gregtech:gt.meta.dustSmall:9708, oredict.dustSmallCorn.name
gregtech:gt.meta.dustSmall:9709, oredict.dustSmallPotato.name
gregtech:gt.meta.dustSmall:9710, oredict.dustSmallMeatRotten.name
gregtech:gt.meta.dustSmall:9711, oredict.dustSmallFishCooked.name
gregtech:gt.meta.dustSmall:9712, oredict.dustSmallFishRaw.name
gregtech:gt.meta.dustSmall:9713, oredict.dustSmallFishRotten.name
gregtech:gt.meta.dustSmall:9714, oredict.dustSmallAlmond.name
gregtech:gt.meta.dustSmall:9778, oredict.dustSmallTofu.name
gregtech:gt.meta.dustSmall:9779, oredict.dustSmallSoylentGreen.name
gregtech:gt.meta.dustSmall:9780, oredict.dustSmallCheese.name
gregtech:gt.meta.dustSmall:9781, oredict.dustSmallChili.name
gregtech:gt.meta.dustSmall:9782, oredict.dustSmallCocoa.name
gregtech:gt.meta.dustSmall:9783, oredict.dustSmallChocolate.name
gregtech:gt.meta.dustSmall:9784, oredict.dustSmallCoffee.name
gregtech:gt.meta.dustSmall:9785, oredict.dustSmallCinnamon.name
gregtech:gt.meta.dustSmall:9786, oredict.dustSmallNutmeg.name
gregtech:gt.meta.dustSmall:9787, oredict.dustSmallVanilla.name
gregtech:gt.meta.dustSmall:9788, oredict.dustSmallPepperBlack.name
gregtech:gt.meta.dustSmall:9789, oredict.dustSmallCurry.name
gregtech:gt.meta.dustSmall:9790, oredict.dustSmallMilk.name
gregtech:gt.meta.dustSmall:9791, oredict.dustSmallHoney.name
gregtech:gt.meta.dustSmall:9792, oredict.dustSmallTea.name
gregtech:gt.meta.dustSmall:9793, oredict.dustSmallHoneydew.name
gregtech:gt.meta.dustSmall:9794, oredict.dustSmallMint.name
gregtech:gt.meta.dustSmall:9795, oredict.dustSmallPeanut.name
gregtech:gt.meta.dustSmall:9796, oredict.dustSmallHazelnut.name
gregtech:gt.meta.dustSmall:9797, oredict.dustSmallPistachio.name
gregtech:gt.meta.dustSmall:9801, oredict.dustSmallSnow.name
gregtech:gt.meta.dustSmall:9802, oredict.dustSmallIce.name
gregtech:gt.meta.dustSmall:9822, oredict.dustSmallSodiumPersulfate.name
gregtech:gt.meta.dustSmall:9823, oredict.dustSmallSodiumSulfide.name
gregtech:gt.meta.dustSmall:9833, oredict.dustSmallMethaneIce.name
gregtech:gt.meta.dustSmall:9851, oredict.dustSmallOilsands.name
gregtech:gt.meta.dustSmall:9852, oredict.dustSmallCrudeOil.name
gregtech:gt.meta.dustSmall:9853, oredict.dustSmallOilshale.name
gregtech:gt.meta.dustSmall:9883, oredict.dustSmallConstructionFoam.name
gregtech:gt.meta.dustTiny:30, oredict.dustTinyLithium.name
gregtech:gt.meta.dustTiny:31, oredict.dustTinyLithium6.name
gregtech:gt.meta.dustTiny:40, oredict.dustTinyBeryllium.name
gregtech:gt.meta.dustTiny:50, oredict.dustTinyBoron.name
gregtech:gt.meta.dustTiny:60, oredict.dustTinyCarbon.name
gregtech:gt.meta.dustTiny:61, oredict.dustTinyCarbon13.name
gregtech:gt.meta.dustTiny:62, oredict.dustTinyCarbon14.name
gregtech:gt.meta.dustTiny:90, oredict.dustTinyFluorine.name
gregtech:gt.meta.dustTiny:110, oredict.dustTinySodium.name
gregtech:gt.meta.dustTiny:120, oredict.dustTinyMagnesium.name
gregtech:gt.meta.dustTiny:130, oredict.dustTinyAluminium.name
gregtech:gt.meta.dustTiny:140, oredict.dustTinySilicon.name
gregtech:gt.meta.dustTiny:150, oredict.dustTinyPhosphor.name
gregtech:gt.meta.dustTiny:160, oredict.dustTinySulfur.name
gregtech:gt.meta.dustTiny:190, oredict.dustTinyPotassium.name
gregtech:gt.meta.dustTiny:200, oredict.dustTinyCalcium.name
gregtech:gt.meta.dustTiny:220, oredict.dustTinyTitanium.name
gregtech:gt.meta.dustTiny:230, oredict.dustTinyVanadium.name
gregtech:gt.meta.dustTiny:240, oredict.dustTinyChromium.name
gregtech:gt.meta.dustTiny:250, oredict.dustTinyManganese.name
gregtech:gt.meta.dustTiny:260, oredict.dustTinyIron.name
gregtech:gt.meta.dustTiny:270, oredict.dustTinyCobalt.name
gregtech:gt.meta.dustTiny:278, oredict.dustTinyCobalt60.name
gregtech:gt.meta.dustTiny:280, oredict.dustTinyNickel.name
gregtech:gt.meta.dustTiny:290, oredict.dustTinyCopper.name
gregtech:gt.meta.dustTiny:300, oredict.dustTinyZinc.name
gregtech:gt.meta.dustTiny:310, oredict.dustTinyGallium.name
gregtech:gt.meta.dustTiny:320, oredict.dustTinyGermanium.name
gregtech:gt.meta.dustTiny:330, oredict.dustTinyArsenic.name
gregtech:gt.meta.dustTiny:340, oredict.dustTinySelenium.name
gregtech:gt.meta.dustTiny:370, oredict.dustTinyRubidium.name
gregtech:gt.meta.dustTiny:380, oredict.dustTinyStrontium.name
gregtech:gt.meta.dustTiny:390, oredict.dustTinyYttrium.name
gregtech:gt.meta.dustTiny:400, oredict.dustTinyZirconium.name
gregtech:gt.meta.dustTiny:410, oredict.dustTinyNiobium.name
gregtech:gt.meta.dustTiny:420, oredict.dustTinyMolybdenum.name
gregtech:gt.meta.dustTiny:430, oredict.dustTinyTechnetium.name
gregtech:gt.meta.dustTiny:440, oredict.dustTinyRuthenium.name
gregtech:gt.meta.dustTiny:450, oredict.dustTinyRhodium.name
gregtech:gt.meta.dustTiny:460, oredict.dustTinyPalladium.name
gregtech:gt.meta.dustTiny:470, oredict.dustTinySilver.name
gregtech:gt.meta.dustTiny:480, oredict.dustTinyCadmium.name
gregtech:gt.meta.dustTiny:490, oredict.dustTinyIndium.name
gregtech:gt.meta.dustTiny:500, oredict.dustTinyTin.name
gregtech:gt.meta.dustTiny:510, oredict.dustTinyAntimony.name
gregtech:gt.meta.dustTiny:530, oredict.dustTinyIodine.name
gregtech:gt.meta.dustTiny:580, oredict.dustTinyCerium.name
gregtech:gt.meta.dustTiny:600, oredict.dustTinyNeodymium.name
gregtech:gt.meta.dustTiny:720, oredict.dustTinyHafnium.name
gregtech:gt.meta.dustTiny:730, oredict.dustTinyTantalum.name
gregtech:gt.meta.dustTiny:740, oredict.dustTinyTungsten.name
gregtech:gt.meta.dustTiny:750, oredict.dustTinyRhenium.name
gregtech:gt.meta.dustTiny:760, oredict.dustTinyOsmiumElemental.name
gregtech:gt.meta.dustTiny:770, oredict.dustTinyIridium.name
gregtech:gt.meta.dustTiny:780, oredict.dustTinyPlatinum.name
gregtech:gt.meta.dustTiny:790, oredict.dustTinyGold.name
gregtech:gt.meta.dustTiny:800, oredict.dustTinyMercury.name
gregtech:gt.meta.dustTiny:820, oredict.dustTinyLead.name
gregtech:gt.meta.dustTiny:830, oredict.dustTinyBismuth.name
gregtech:gt.meta.dustTiny:850, oredict.dustTinyAstatine.name
gregtech:gt.meta.dustTiny:880, oredict.dustTinyRadium.name
gregtech:gt.meta.dustTiny:900, oredict.dustTinyThorium.name
gregtech:gt.meta.dustTiny:920, oredict.dustTinyUranium.name
gregtech:gt.meta.dustTiny:921, oredict.dustTinyUranium235.name
gregtech:gt.meta.dustTiny:940, oredict.dustTinyPlutonium.name
gregtech:gt.meta.dustTiny:943, oredict.dustTinyPlutonium241.name
gregtech:gt.meta.dustTiny:945, oredict.dustTinyPlutonium243.name
gregtech:gt.meta.dustTiny:950, oredict.dustTinyAmericium.name
gregtech:gt.meta.dustTiny:951, oredict.dustTinyAmericium241.name
gregtech:gt.meta.dustTiny:1250, oredict.dustTinyTritaniumElemental.name
gregtech:gt.meta.dustTiny:1260, oredict.dustTinyTrinium.name
gregtech:gt.meta.dustTiny:1450, oredict.dustTinyDuraniumElemental.name
gregtech:gt.meta.dustTiny:1740, oredict.dustTinyNaquadah.name
gregtech:gt.meta.dustTiny:1741, oredict.dustTinyNaquadahEnriched.name
gregtech:gt.meta.dustTiny:1742, oredict.dustTinyNaquadria.name
gregtech:gt.meta.dustTiny:8000, oredict.dustTinySiliconDioxide.name
gregtech:gt.meta.dustTiny:8001, oredict.dustTinyGlass.name
gregtech:gt.meta.dustTiny:8002, oredict.dustTinyFlint.name
gregtech:gt.meta.dustTiny:8003, oredict.dustTinyCarborundum.name
gregtech:gt.meta.dustTiny:8004, oredict.dustTinyLithiumOxide.name
gregtech:gt.meta.dustTiny:8005, oredict.dustTinyFerrite.name
gregtech:gt.meta.dustTiny:8006, oredict.dustTinyDatolite.name
gregtech:gt.meta.dustTiny:8007, oredict.dustTinyHydrogenBorate.name
gregtech:gt.meta.dustTiny:8008, oredict.dustTinyAlumina.name
